Unnamed: 0,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender,Id
557,,21,fully repaid,car (new),5003,,3 years,1,,none,8 years,building society savings,29,bank,own,2,1,1,2347367998.0,yes,skilled employee,female,557
560,-22.0,24,repaid,car (used),2964,,13 years,4,single,none,24 years,unknown/none,49,bank,for free,1,0,2,2340541899.0,yes,skilled employee,male,560
561,-1.0,24,fully repaid this bank,radio/tv,1546,22.0,4 years,4,single,guarantor,24 years,other,24,bank,rent,1,1,1,,yes,unskilled resident,male,561
562,376.0,6,delayed,radio/tv,683,32.0,9 months,2,,none,,building society savings,29,bank,own,1,0,1,,yes,skilled employee,female,562
563,82.0,36,repaid,car (new),12389,,3 years,1,single,none,5 years,unknown/none,37,none,for free,1,1,1,2342880495.0,yes,skilled employee,male,563
564,85.0,24,delayed,business,4712,,3 years,4,single,none,10 months,building society savings,37,bank,own,2,0,1,2344868309.0,yes,mangement self-employed,male,564
565,150.0,24,delayed,radio/tv,1553,205.0,4 years,3,,none,1 months,building society savings,23,none,rent,2,0,1,2340023374.0,yes,skilled employee,female,565
569,-13.0,48,repaid,radio/tv,6758,14.0,2 years,3,,none,0 months,other,31,none,own,1,1,1,2348675631.0,yes,skilled employee,female,569
570,-2.0,24,repaid,furniture,3234,74.0,0 months,4,,none,9 years,real estate,23,none,rent,1,1,1,2344173321.0,yes,unskilled resident,female,570
572,,24,repaid,car (used),5433,,,2,,none,6 years,building society savings,26,none,rent,1,0,1,2349547733.0,yes,mangement self-employed,female,572
573,-6.0,15,repaid,business,806,95.0,1 years,4,,none,16 years,building society savings,22,none,own,1,0,1,,yes,unskilled resident,female,573
575,,15,critical,furniture,2788,97.0,4 years,2,,co-applicant,4 years,other,24,bank,own,2,0,1,,yes,skilled employee,female,575
576,102.0,12,repaid,radio/tv,2930,36.0,7 years,2,,none,,real estate,27,none,own,1,0,1,,yes,skilled employee,female,576
577,,24,critical,education,1927,,1 years,3,,none,8 months,other,33,none,own,2,0,1,2344307158.0,yes,skilled employee,female,577
580,79.0,18,critical,car (new),1056,90.0,10 years,3,single,guarantor,4 years,real estate,30,bank,own,2,1,1,,yes,skilled employee,male,580
581,76.0,12,critical,car (new),3124,6.0,8 months,1,single,none,3 years,real estate,49,bank,own,2,0,2,,yes,unskilled resident,male,581
582,,9,repaid,furniture,1388,30.0,1 years,4,,none,6 months,real estate,26,none,rent,1,0,1,,yes,skilled employee,female,582
583,196.0,36,repaid,repairs,2384,47.0,8 months,4,single,none,,unknown/none,33,none,rent,1,1,1,,yes,unskilled resident,male,583
584,,12,repaid,car (new),2133,,17 years,4,,none,24 years,unknown/none,52,none,for free,1,0,1,2349922974.0,yes,mangement self-employed,female,584
585,-41.0,18,repaid,furniture,2039,0.0,3 years,1,,none,9 years,real estate,20,bank,rent,1,1,1,,yes,skilled employee,female,585
586,-24.0,9,critical,car (new),2799,31.0,1 years,2,single,none,5 months,real estate,36,none,rent,2,0,2,,yes,skilled employee,male,586
587,-38.0,12,repaid,furniture,1289,92.0,1 years,4,single,guarantor,,building society savings,21,none,own,1,0,1,,yes,unskilled resident,male,587
588,-31.0,18,repaid,domestic appliances,1217,1.0,3 years,4,married,none,3 years,real estate,47,none,own,1,1,1,2344960836.0,yes,unskilled resident,male,588
590,-21.0,12,critical,radio/tv,385,60.0,5 years,4,,none,3 years,real estate,58,none,own,4,0,1,2348814936.0,yes,unskilled resident,female,590
591,14.0,24,delayed,car (new),1965,,2 years,4,,none,19 years,other,42,none,rent,2,0,1,2345266144.0,yes,skilled employee,female,591
592,,21,repaid,business,1572,19485.0,7 years,4,,none,12 years,real estate,36,bank,own,1,0,1,,yes,unskilled resident,female,592
593,131.0,24,repaid,car (new),2718,53.0,1 years,3,,none,20 years,building society savings,20,none,rent,1,1,1,2341173079.0,yes,unskilled resident,female,593
594,-8.0,24,fully repaid this bank,others,1358,,13 years,4,single,none,4 years,other,40,stores,own,1,1,1,2349032639.0,yes,mangement self-employed,male,594
595,16.0,6,fully repaid this bank,car (new),931,213.0,9 months,1,,none,,building society savings,32,stores,own,1,1,1,,yes,unskilled resident,female,595
596,-11.0,24,repaid,car (new),1442,89.0,6 years,4,,none,7 years,other,23,none,rent,2,1,1,,yes,skilled employee,female,596
598,,18,critical,car (new),2775,13.0,4 years,2,single,none,8 months,building society savings,31,bank,own,2,1,1,,yes,skilled employee,male,598
601,177.0,9,repaid,furniture,918,86.0,1 years,4,,none,,building society savings,30,none,own,1,1,1,,yes,skilled employee,female,601
602,187.0,24,fully repaid this bank,education,1837,89.0,7 years,4,,none,23 years,unknown/none,34,bank,for free,1,1,1,,yes,unskilled resident,female,602
603,,36,repaid,furniture,3349,0.0,1 years,4,,none,5 months,other,28,none,own,1,1,1,2346873155.0,yes,mangement self-employed,female,603
606,,24,critical,business,4526,60.0,2 years,3,single,none,5 months,real estate,74,none,own,1,0,1,2341829220.0,yes,mangement self-employed,male,606
607,70.0,36,repaid,radio/tv,2671,241.0,1 years,4,,co-applicant,5 years,unknown/none,50,none,for free,1,1,1,,yes,skilled employee,female,607
610,-23.0,12,repaid,domestic appliances,741,408.0,,4,,none,2 years,building society savings,22,none,own,1,1,1,,yes,skilled employee,female,610
612,-48.0,21,repaid,radio/tv,3357,3138.0,9 months,4,,none,1 months,other,29,bank,own,1,0,1,,yes,skilled employee,female,612
613,-18.0,24,fully repaid this bank,car (used),3632,57.0,1 years,1,,guarantor,13 years,other,22,bank,rent,1,0,1,,no,skilled employee,female,613
614,,18,delayed,furniture,1808,3.0,6 years,4,,none,,real estate,22,none,own,1,1,1,,yes,skilled employee,female,614
615,179.0,48,fully repaid,business,12204,,1 years,2,single,none,9 months,other,48,bank,own,1,0,1,2340188514.0,yes,mangement self-employed,male,615
616,168.0,60,delayed,radio/tv,9157,,3 years,2,single,none,1 months,unknown/none,27,none,for free,1,0,1,,yes,mangement self-employed,male,616
618,94.0,30,repaid,furniture,3441,315.0,1 years,2,,co-applicant,17 years,other,21,none,rent,1,1,1,,yes,skilled employee,female,618
619,,12,repaid,car (new),640,88.0,2 years,4,divorced,none,0 months,real estate,49,none,own,1,0,1,,yes,unskilled resident,male,619
620,137.0,21,critical,business,3652,49.0,4 years,2,single,none,2 years,building society savings,27,none,own,2,0,1,,yes,skilled employee,male,620
621,,18,critical,car (new),1530,60.0,3 years,3,single,none,0 months,building society savings,32,bank,own,2,1,1,,yes,skilled employee,male,621
623,-19.0,12,repaid,furniture,1858,35.0,4 months,4,,none,,other,22,none,rent,1,0,1,,yes,skilled employee,female,623
624,-27.0,18,repaid,radio/tv,2600,47.0,2 years,4,single,none,23 years,unknown/none,65,none,for free,2,1,1,,yes,skilled employee,male,624
625,,15,repaid,radio/tv,1979,,11 years,4,single,none,1 months,other,35,none,own,1,0,1,,yes,skilled employee,male,625
626,926.0,6,repaid,furniture,2116,34.0,1 years,2,single,none,9 months,real estate,41,none,own,1,0,1,2343568152.0,yes,skilled employee,male,626
627,73.0,9,fully repaid this bank,car (new),1437,473.0,5 years,2,single,none,4 years,unknown/none,29,none,own,1,1,1,,yes,skilled employee,male,627
629,,9,repaid,education,3832,,17 years,1,single,none,13 years,real estate,64,none,own,1,0,1,,yes,unskilled resident,male,629
631,-39.0,18,fully repaid this bank,furniture,1553,29.0,1 years,4,single,none,3 years,other,44,bank,own,1,1,1,,yes,skilled employee,male,631
633,,9,repaid,furniture,1980,31.0,11 months,2,,co-applicant,3 months,other,19,none,rent,2,1,1,,yes,skilled employee,female,633
635,,12,repaid,education,1393,60.0,7 years,4,single,none,11 years,building society savings,47,bank,own,3,0,2,2348644962.0,yes,skilled employee,male,635
636,,24,repaid,radio/tv,1376,719.0,4 years,4,,none,,other,28,none,own,1,0,1,,yes,skilled employee,female,636
637,,60,delayed,radio/tv,15653,6.0,7 years,2,single,none,18 years,other,21,none,own,2,0,1,2346153067.0,yes,skilled employee,male,637
638,,12,repaid,radio/tv,1493,89.0,3 months,4,,none,2 years,other,34,none,own,1,0,2,,yes,skilled employee,female,638
641,120.0,15,repaid,repairs,1308,15.0,14 years,4,single,none,7 years,other,38,none,own,2,0,1,,yes,unskilled resident,male,641
642,,15,repaid,education,4623,413.0,3 years,3,single,none,9 months,building society savings,40,none,own,1,1,1,2347047323.0,yes,mangement self-employed,male,642
643,,24,critical,radio/tv,1851,27.0,5 years,4,married,guarantor,10 months,other,33,none,own,2,0,1,2341892936.0,yes,skilled employee,male,643
645,,36,delayed,business,7980,,8 months,4,single,none,18 years,other,27,none,rent,2,1,1,2348009260.0,yes,skilled employee,male,645
646,-36.0,30,fully repaid,furniture,4583,99.0,2 years,2,divorced,guarantor,8 months,real estate,32,none,own,2,0,1,,yes,skilled employee,male,646
648,389.0,24,repaid,car (new),947,25.0,5 years,4,single,none,4 years,unknown/none,38,bank,for free,1,1,2,,yes,skilled employee,male,648
649,-42.0,12,repaid,education,684,80.0,3 years,4,single,none,18 years,other,40,none,rent,1,1,2,,yes,unskilled resident,male,649
650,-9.0,48,repaid,education,7476,55.0,6 years,4,single,none,,unknown/none,50,none,for free,1,0,1,2341629659.0,yes,mangement self-employed,male,650
651,180.0,12,repaid,furniture,1922,39.0,2 years,4,single,none,6 months,building society savings,37,none,own,1,1,1,,yes,unskilled resident,male,651
652,-35.0,24,repaid,car (new),2303,5.0,11 years,4,single,co-applicant,,real estate,45,none,own,1,1,1,,yes,skilled employee,male,652
653,90.0,36,delayed,car (new),8086,440.0,8 years,2,single,none,12 years,other,42,none,own,4,1,1,2348477227.0,yes,mangement self-employed,male,653
654,,24,critical,car (used),2346,53.0,4 years,4,single,none,2 years,other,35,none,own,2,0,1,2346642872.0,yes,skilled employee,male,654
655,-49.0,14,repaid,car (new),3973,16.0,,1,single,none,23 years,unknown/none,22,none,for free,1,0,1,,yes,skilled employee,male,655
656,104.0,12,repaid,car (new),888,17.0,11 years,4,single,none,5 years,other,41,bank,own,1,1,2,,yes,unskilled resident,male,656
659,30.0,18,critical,furniture,6361,81.0,10 years,2,single,none,,unknown/none,41,none,own,1,0,1,2340203150.0,yes,skilled employee,male,659
660,925.0,12,repaid,radio/tv,1297,11.0,1 years,3,married,none,14 years,real estate,23,none,rent,1,0,1,,yes,skilled employee,male,660
661,-12.0,12,repaid,car (new),900,,2 years,4,married,none,3 months,other,23,none,own,1,1,1,,yes,skilled employee,male,661
662,,21,repaid,furniture,2241,18.0,18 years,4,single,none,11 months,real estate,50,none,own,2,0,1,,yes,skilled employee,male,662
663,65.0,6,delayed,furniture,1050,48.0,,4,single,none,,building society savings,35,stores,own,2,0,1,2344707598.0,yes,mangement self-employed,male,663
664,975.0,6,critical,education,1047,84.0,3 years,2,,none,7 years,building society savings,50,none,own,1,0,1,,yes,unskilled resident,female,664
667,,48,fully repaid this bank,business,3609,39.0,1 years,1,,none,,real estate,27,stores,own,1,0,1,,yes,skilled employee,female,667
668,-31.0,12,critical,car (new),4843,73.0,9 years,3,single,co-applicant,19 years,building society savings,43,none,rent,2,1,1,2348905398.0,yes,skilled employee,male,668
671,,36,repaid,business,5742,111.0,5 years,2,single,none,8 months,other,31,none,own,2,0,1,2341837662.0,yes,skilled employee,male,671
674,,21,delayed,business,2580,562.0,11 months,4,single,none,1 months,real estate,41,bank,own,1,1,2,,yes,unskilled resident,male,674
675,,30,critical,radio/tv,4530,19.0,5 years,4,,none,16 years,other,26,none,rent,1,0,1,2343535426.0,yes,mangement self-employed,female,675
676,,24,critical,furniture,5150,53.0,15 years,4,single,none,22 years,other,33,none,own,1,0,1,2348856362.0,yes,skilled employee,male,676
677,48.0,72,repaid,radio/tv,5595,486.0,2 years,2,married,none,0 months,other,24,none,own,1,1,1,,yes,skilled employee,male,677
678,-11.0,24,repaid,radio/tv,2384,61.0,11 years,4,single,none,23 years,real estate,64,bank,rent,1,0,1,,yes,unskilled resident,male,678
680,,6,repaid,education,1538,69.0,8 months,1,,none,11 months,unknown/none,56,none,own,1,0,1,,yes,skilled employee,female,680
681,,12,repaid,radio/tv,2279,,3 years,4,single,none,13 years,unknown/none,37,none,for free,1,0,1,2345921222.0,yes,skilled employee,male,681
682,,15,delayed,radio/tv,1478,48.0,3 years,4,married,none,1 years,real estate,33,bank,own,2,0,1,,yes,skilled employee,male,682
683,,24,critical,radio/tv,5103,10.0,2 months,3,married,none,2 years,unknown/none,47,none,for free,3,0,1,2340637574.0,yes,skilled employee,male,683
684,42.0,36,delayed,business,9857,371.0,5 years,1,single,none,3 years,building society savings,31,none,own,2,0,2,2341950614.0,yes,unskilled resident,male,684
685,,60,repaid,car (new),6527,,1 years,4,single,none,8 years,unknown/none,34,none,for free,1,0,2,2342224016.0,yes,skilled employee,male,685
686,992.0,10,critical,radio/tv,1347,,6 years,4,single,none,6 months,building society savings,27,none,own,2,0,1,2341039016.0,yes,skilled employee,male,686
687,45.0,36,delayed,car (new),2862,253.0,18 years,4,single,none,1 years,unknown/none,30,none,for free,1,0,1,,yes,skilled employee,male,687
688,,9,repaid,radio/tv,2753,426.0,7 years,3,single,co-applicant,21 years,other,35,none,own,1,0,1,2349920594.0,yes,skilled employee,male,688
689,-16.0,12,repaid,car (new),3651,19970.0,2 years,1,single,none,4 years,building society savings,31,none,own,1,0,2,,yes,skilled employee,male,689
691,68.0,15,repaid,repairs,2631,463.0,3 years,3,,none,9 months,real estate,25,none,own,1,0,1,,yes,unskilled resident,female,691
692,51.0,24,repaid,radio/tv,2896,481.0,4 months,2,single,none,,other,29,none,own,1,0,1,,yes,skilled employee,male,692
693,-15.0,6,critical,car (new),4716,,10 months,1,single,none,3 years,real estate,44,none,own,2,0,2,,yes,unskilled resident,male,693
694,,24,repaid,radio/tv,2284,57.0,6 years,4,single,none,11 months,other,28,none,own,1,0,1,2340959716.0,yes,skilled employee,male,694
697,,12,critical,car (new),926,52.0,,1,,none,10 months,building society savings,38,none,own,1,0,1,,yes,unemployed non-resident,female,697
698,,18,critical,radio/tv,1800,85.0,1 years,4,single,none,2 months,other,24,none,own,2,0,1,,yes,skilled employee,male,698
699,746.0,15,repaid,education,1905,77.0,12 years,4,single,none,8 years,other,40,none,rent,1,0,1,2340258551.0,yes,mangement self-employed,male,699
700,,12,repaid,furniture,1123,993.0,1 years,4,,none,17 years,other,29,none,rent,1,1,1,,yes,unskilled resident,female,700
701,-7.0,48,critical,car (used),6331,38.0,18 years,4,single,none,19 years,unknown/none,46,none,for free,2,1,1,2346475345.0,yes,skilled employee,male,701
702,539.0,24,repaid,radio/tv,1377,144.0,12 years,4,,none,11 months,unknown/none,47,none,for free,1,0,1,2348291499.0,yes,skilled employee,female,702
703,175.0,30,delayed,business,2503,283.0,8 years,4,single,none,8 months,building society savings,41,stores,own,2,0,1,,yes,skilled employee,male,703
704,91.0,27,repaid,business,2528,97.0,1 months,4,,none,,building society savings,32,none,own,1,0,2,2345105680.0,yes,skilled employee,female,704
705,,15,repaid,car (new),5324,996.0,10 years,1,,none,8 years,unknown/none,35,none,for free,1,0,1,,yes,skilled employee,female,705
706,8.0,48,repaid,car (new),6560,102.0,6 years,3,single,none,5 months,building society savings,24,none,own,1,1,1,,yes,skilled employee,male,706
708,12.0,9,repaid,radio/tv,1206,54.0,14 years,4,,none,22 years,real estate,25,none,own,1,0,1,,yes,skilled employee,female,708
712,,21,repaid,car (used),2476,,19 years,4,single,none,12 years,real estate,46,none,own,1,0,1,2347715157.0,yes,mangement self-employed,male,712
713,-43.0,9,critical,radio/tv,1138,35.0,1 years,4,single,none,11 years,real estate,25,none,own,2,0,1,,yes,unskilled resident,male,713
717,,18,repaid,radio/tv,1505,0.0,2 years,4,single,none,3 months,unknown/none,32,none,for free,1,0,1,2346435713.0,yes,mangement self-employed,male,717
718,935.0,24,critical,radio/tv,3148,,3 years,3,single,none,7 months,other,31,none,own,2,0,1,2348912972.0,yes,skilled employee,male,718
719,41.0,20,fully repaid,car (used),6148,122.0,16 years,3,married,none,17 years,other,31,bank,own,2,0,1,2340773798.0,yes,skilled employee,male,719
720,743.0,9,fully repaid,radio/tv,1337,62.0,7 months,4,single,none,0 months,other,34,none,own,2,1,1,2341175759.0,yes,mangement self-employed,male,720
723,9.0,9,repaid,radio/tv,790,534.0,1 years,4,,none,1 years,real estate,66,none,own,1,0,1,,yes,unskilled resident,female,723
724,,27,repaid,car (new),2570,13.0,1 years,3,,none,4 years,real estate,21,none,rent,1,1,1,,yes,skilled employee,female,724
725,,6,critical,car (new),250,6002.0,2 years,2,,none,4 months,real estate,41,bank,own,2,0,1,,yes,unskilled resident,female,725
726,,15,critical,radio/tv,1316,999.0,3 years,2,married,none,4 months,building society savings,47,none,own,2,0,1,,yes,unskilled resident,male,726
728,118.0,48,fully repaid this bank,business,6416,74.0,10 years,4,,none,1 years,unknown/none,59,none,rent,1,1,1,,yes,skilled employee,female,728
729,261.0,24,critical,business,1275,19295.0,1 years,2,divorced,none,14 years,real estate,36,none,own,2,0,1,2342384479.0,yes,skilled employee,male,729
730,145.0,24,delayed,radio/tv,6403,44.0,6 months,1,single,none,7 months,other,33,none,own,1,0,1,,yes,skilled employee,male,730
731,-2.0,24,repaid,radio/tv,1987,43.0,2 years,2,single,none,15 years,real estate,21,none,rent,1,1,2,,yes,unskilled resident,male,731
734,,4,critical,car (new),3380,13.0,5 years,1,,none,,real estate,37,none,own,1,0,2,,yes,skilled employee,female,734
737,-8.0,18,repaid,car (new),4380,157.0,2 years,3,single,none,18 years,other,35,none,own,1,0,2,2342986272.0,yes,unskilled resident,male,737
738,,6,critical,car (new),6761,57.0,7 years,1,single,none,4 years,unknown/none,45,none,own,2,0,2,2347088319.0,yes,mangement self-employed,male,738
739,10.0,30,fully repaid,business,4280,364.0,2 years,4,,none,19 years,other,26,none,rent,2,1,1,,yes,unskilled resident,female,739
740,-20.0,24,fully repaid this bank,car (new),2325,436.0,5 years,2,single,none,4 years,other,32,bank,own,1,0,1,,yes,skilled employee,male,740
741,189.0,10,fully repaid this bank,radio/tv,1048,77.0,1 years,4,single,none,7 years,real estate,23,stores,own,1,0,1,,yes,unskilled resident,male,741
743,-9.0,24,fully repaid this bank,furniture,2483,940.0,2 years,4,single,none,6 years,real estate,22,stores,own,1,0,1,2341563802.0,yes,skilled employee,male,743
744,-9.0,39,critical,furniture,14179,,4 years,4,single,none,16 years,building society savings,30,none,own,2,0,1,2343831696.0,yes,mangement self-employed,male,744
745,-43.0,13,critical,business,1797,17.0,10 months,3,single,none,,building society savings,28,bank,own,2,0,1,,yes,unskilled resident,male,745
746,-32.0,15,repaid,car (new),2511,4.0,,1,,none,15 years,other,23,none,rent,1,0,1,,yes,skilled employee,female,746
748,,21,repaid,car (used),5248,,1 years,1,single,none,4 years,other,26,none,own,1,0,1,,yes,skilled employee,male,748
751,-5.0,18,repaid,car (new),976,24.0,10 months,1,,none,2 months,other,23,none,own,1,1,1,,yes,unskilled resident,female,751
752,145.0,12,repaid,business,841,464.0,5 years,2,,none,8 years,real estate,23,none,rent,1,0,1,,yes,unskilled resident,female,752
756,641.0,6,critical,car (new),1299,40.0,1 years,1,single,none,,real estate,74,none,own,3,0,2,,no,unemployed non-resident,male,756
757,997.0,15,critical,radio/tv,1271,,2 years,3,single,none,6 years,unknown/none,39,none,for free,2,1,1,2347430636.0,yes,skilled employee,male,757
758,,24,repaid,car (new),1393,15.0,3 years,2,single,guarantor,1 months,real estate,31,none,own,1,0,1,2345176203.0,yes,skilled employee,male,758
762,-27.0,12,repaid,radio/tv,2214,76.0,1 years,4,single,none,4 years,building society savings,24,none,own,1,0,1,,yes,unskilled resident,male,762
763,,21,critical,car (new),12680,,11 years,4,single,none,9 years,unknown/none,30,none,for free,1,1,1,2340557600.0,yes,mangement self-employed,male,763
765,40.0,12,repaid,radio/tv,1155,80.0,9 years,3,married,guarantor,4 years,real estate,40,bank,own,2,0,1,,yes,unskilled resident,male,765
768,57.0,12,critical,furniture,3617,97.0,18 years,1,single,none,23 years,other,28,none,rent,3,0,1,2347515144.0,yes,skilled employee,male,768
769,,12,critical,radio/tv,1655,91.0,15 years,2,single,none,22 years,real estate,63,none,own,2,0,1,2349710648.0,yes,unskilled resident,male,769
773,,24,critical,radio/tv,2223,410.0,19 years,4,single,none,9 years,building society savings,52,bank,own,2,0,1,,yes,skilled employee,male,773
776,,36,critical,car (new),3535,78.0,6 years,4,single,none,18 years,other,37,none,own,2,0,1,2348751129.0,yes,skilled employee,male,776
777,-15.0,18,repaid,radio/tv,3509,21.0,6 years,4,,guarantor,,real estate,25,none,own,1,0,1,,yes,skilled employee,female,777
778,,36,critical,car (used),5711,18353.0,8 years,4,single,none,8 months,other,38,none,own,2,0,1,2343142198.0,yes,mangement self-employed,male,778
779,20.0,18,repaid,repairs,3872,36.0,,2,,none,10 years,other,67,none,own,1,0,1,2347199784.0,yes,skilled employee,female,779
780,35.0,39,critical,radio/tv,4933,55.0,6 years,2,single,guarantor,0 months,real estate,25,none,own,2,1,1,,yes,skilled employee,male,780
781,,24,critical,car (new),1940,4619.0,15 years,4,single,none,24 years,real estate,60,none,own,1,0,1,2343419840.0,yes,skilled employee,male,781
783,134.0,12,repaid,car (new),836,400.0,4 months,4,,none,3 months,building society savings,23,bank,own,1,1,1,,yes,unskilled resident,female,783
784,109.0,20,repaid,car (used),6468,,,1,divorced,none,12 years,real estate,60,none,own,1,0,1,2341227482.0,yes,mangement self-employed,male,784
785,43.0,18,repaid,business,1941,12765.0,1 years,4,single,none,11 months,building society savings,35,none,own,1,0,1,2343203612.0,yes,unskilled resident,male,785
786,,22,repaid,radio/tv,2675,554.0,10 years,3,single,none,14 years,other,40,none,own,1,0,1,,yes,skilled employee,male,786
788,142.0,48,delayed,education,6224,79.0,10 years,4,single,none,22 years,unknown/none,50,none,for free,1,1,1,,yes,skilled employee,male,788
789,-18.0,40,critical,education,5998,76.0,3 years,4,single,none,2 years,unknown/none,27,bank,own,1,1,1,2346512744.0,yes,skilled employee,male,789
790,103.0,21,repaid,business,1188,86.0,10 years,2,,none,13 years,building society savings,39,none,own,1,1,2,,yes,skilled employee,female,790
791,,24,repaid,car (used),6313,,11 years,3,single,none,10 years,other,41,none,own,1,0,2,2348285680.0,yes,mangement self-employed,male,791
794,,24,repaid,furniture,3062,880.0,16 years,4,single,none,1 years,unknown/none,32,none,rent,1,0,1,2340826273.0,yes,skilled employee,male,794
795,,9,repaid,furniture,2301,279.0,10 months,2,,none,18 years,building society savings,22,none,rent,1,0,1,,yes,skilled employee,female,795
796,-36.0,18,repaid,car (used),7511,,7 years,1,single,none,21 years,building society savings,51,none,for free,1,1,2,2348109143.0,yes,skilled employee,male,796
797,,12,critical,furniture,1258,4.0,5 months,2,,none,17 years,building society savings,22,none,rent,2,0,1,,yes,unskilled resident,female,797
798,,24,delayed,car (new),717,,9 years,4,married,none,24 years,other,54,none,own,2,0,1,2349683992.0,yes,skilled employee,male,798
799,98.0,9,repaid,car (new),1549,,6 months,4,single,none,3 months,real estate,35,none,own,1,0,1,,yes,unemployed non-resident,male,799
800,,24,critical,education,1597,23.0,10 years,4,single,none,7 years,unknown/none,54,none,for free,2,0,2,,yes,skilled employee,male,800
801,32.0,18,critical,radio/tv,1795,79.0,8 years,3,,guarantor,11 years,real estate,48,bank,rent,2,0,1,2341042691.0,yes,unskilled resident,female,801
802,-23.0,20,critical,furniture,4272,30.0,13 years,1,,none,21 years,building society savings,24,none,own,2,0,1,,yes,skilled employee,female,802
803,,12,critical,radio/tv,976,,11 years,4,single,none,21 years,other,35,none,own,2,0,1,,yes,skilled employee,male,803
804,3.0,12,repaid,car (new),7472,,,1,,none,10 months,real estate,24,none,rent,1,0,1,,yes,unemployed non-resident,female,804
805,-4.0,36,repaid,car (new),9271,40.0,6 years,2,single,none,,other,24,none,own,1,1,1,2340770930.0,yes,skilled employee,male,805
806,99.0,6,repaid,radio/tv,590,14.0,0 months,3,married,none,1 years,real estate,26,none,own,1,0,1,,no,unskilled resident,male,806
807,,12,critical,radio/tv,930,,8 years,4,single,none,10 years,real estate,65,none,own,4,0,1,,yes,skilled employee,male,807
808,188.0,42,fully repaid this bank,car (used),9283,31.0,,1,single,none,9 months,unknown/none,55,bank,for free,1,0,1,2347071312.0,yes,mangement self-employed,male,808
809,119.0,15,fully repaid,car (new),1778,87.0,4 months,2,,none,,real estate,26,none,rent,2,1,1,,yes,unemployed non-resident,female,809
810,119.0,8,repaid,business,907,6.0,6 months,3,married,none,0 months,real estate,26,none,own,1,0,1,2348175698.0,yes,skilled employee,male,810
812,-13.0,36,critical,car (used),9629,34.0,6 years,4,single,none,15 years,other,24,none,own,2,1,1,2340698546.0,yes,skilled employee,male,812
813,-16.0,48,repaid,domestic appliances,3051,29.0,2 years,3,single,none,16 years,other,54,none,own,1,1,1,,yes,skilled employee,male,813
814,-9.0,48,repaid,car (new),3931,39.0,4 years,4,single,none,5 years,unknown/none,46,none,for free,1,1,2,,yes,skilled employee,male,814
816,,6,repaid,domestic appliances,1338,851.0,1 years,1,divorced,none,15 years,real estate,62,none,own,1,0,1,,yes,skilled employee,male,816
818,-44.0,36,repaid,others,15857,87.0,,2,divorced,co-applicant,3 years,other,43,none,own,1,0,1,,yes,mangement self-employed,male,818
820,,12,repaid,car (new),1101,65.0,1 years,3,married,none,2 months,real estate,27,none,own,2,0,1,2342735105.0,yes,skilled employee,male,820
821,999.0,12,repaid,radio/tv,3016,64.0,3 years,3,married,none,,other,24,none,own,1,0,1,,yes,skilled employee,male,821
822,-27.0,36,repaid,furniture,2712,26.0,11 years,2,single,none,10 months,building society savings,41,bank,own,1,1,2,,yes,skilled employee,male,822
823,-19.0,8,critical,car (new),731,51.0,9 years,4,single,none,14 years,real estate,47,none,own,2,0,1,,yes,unskilled resident,male,823
824,,18,critical,furniture,3780,37.0,4 months,3,divorced,none,8 months,other,35,none,own,2,0,1,2342641371.0,yes,mangement self-employed,male,824
825,-36.0,21,critical,car (new),1602,0.0,12 years,4,married,none,1 years,other,30,none,own,2,0,1,2344342802.0,yes,skilled employee,male,825
826,-32.0,18,critical,car (new),3966,5.0,9 years,1,,none,23 years,real estate,33,bank,rent,3,1,1,2341158575.0,yes,skilled employee,female,826
828,-30.0,36,repaid,car (used),8335,,8 years,3,single,none,12 years,unknown/none,47,none,for free,1,1,1,,yes,skilled employee,male,828
831,-17.0,18,repaid,car (new),1216,47.0,11 months,4,,none,1 years,other,23,none,rent,1,1,1,2345232464.0,yes,skilled employee,female,831
832,-43.0,45,fully repaid,business,11816,67.0,12 years,2,single,none,23 years,other,29,none,rent,2,1,1,,yes,skilled employee,male,832
834,630.0,15,repaid,radio/tv,2327,38.0,2 months,2,,none,4 years,real estate,25,none,own,1,1,1,,yes,unskilled resident,female,834
835,-39.0,12,fully repaid,car (new),1082,0.0,3 years,4,single,none,11 years,other,48,bank,own,2,1,1,,yes,skilled employee,male,835
836,,12,repaid,radio/tv,886,,2 years,4,,none,3 months,other,21,none,own,1,0,1,,yes,skilled employee,female,836
837,,4,repaid,furniture,601,84.0,8 months,1,,none,2 years,real estate,23,none,rent,1,0,2,,yes,unskilled resident,female,837
838,-39.0,24,critical,car (used),2957,11.0,18 years,4,single,none,6 years,building society savings,63,none,own,2,0,1,2343800298.0,yes,skilled employee,male,838
839,,24,critical,radio/tv,2611,12.0,8 years,4,married,co-applicant,1 years,real estate,46,none,own,2,0,1,,yes,skilled employee,male,839
841,,21,delayed,car (used),2993,18.0,2 years,3,single,none,4 months,real estate,28,stores,own,2,0,1,,yes,unskilled resident,male,841
843,,24,fully repaid this bank,business,1559,80.0,5 years,4,single,none,11 years,other,50,bank,own,1,0,1,2348899873.0,yes,skilled employee,male,843
